tick dispatched arrived stranded diverted divertShare avgHops
0 0 0 0 0 0.0 0.0
1 25 3 0 0 0.0 1.0
2 50 4 0 0 0.0 1.25
3 75 5 0 1 0.2 1.6
4 100 13 0 2 0.15384615384615385 2.6923076923076925
5 125 25 0 5 0.2 2.96
6 150 34 0 6 0.17647058823529413 3.088235294117647
7 175 52 0 7 0.1346153846153846 3.6923076923076925
8 200 72 0 11 0.1527777777777778 3.9027777777777777
9 225 89 0 15 0.16853932584269662 4.224719101123595
10 250 118 0 18 0.15254237288135594 4.593220338983051
11 275 140 0 23 0.16428571428571428 4.742857142857143
12 300 166 0 28 0.1686746987951807 4.885542168674699
13 325 190 0 36 0.18947368421052632 5.068421052631579
14 350 210 1 39 0.18571428571428572 5.095238095238095
15 375 232 1 45 0.1939655172413793 5.310344827586207
16 400 253 3 49 0.19367588932806323 5.3438735177865615
17 425 285 6 55 0.19298245614035087 5.364912280701755
18 450 309 7 62 0.20064724919093851 5.427184466019417
19 475 336 7 72 0.21428571428571427 5.482142857142857
20 500 363 8 80 0.22038567493112948 5.586776859504132
21 525 380 9 86 0.22631578947368422 5.586842105263158
22 550 404 9 93 0.2301980198019802 5.628712871287129
23 575 429 9 100 0.2331002331002331 5.643356643356643
24 600 455 11 104 0.22857142857142856 5.650549450549451
25 625 478 12 111 0.23221757322175732 5.7196652719665275
26 650 495 15 113 0.22828282828282828 5.743434343434344
27 675 522 15 120 0.22988505747126436 5.766283524904215
28 700 544 15 127 0.23345588235294118 5.792279411764706
29 725 567 16 131 0.2310405643738977 5.800705467372134
30 750 590 17 136 0.2305084745762712 5.794915254237288
31 775 614 18 142 0.23127035830618892 5.815960912052117
32 800 634 18 144 0.22712933753943218 5.8107255520504735
33 825 661 18 150 0.22692889561270801 5.854765506807867
34 850 685 18 156 0.22773722627737225 5.908029197080292
35 875 718 19 170 0.23676880222841226 5.942896935933148
36 900 741 19 176 0.23751686909581646 5.932523616734143
37 925 767 20 182 0.23728813559322035 5.930899608865711
38 950 791 26 188 0.23767383059418457 5.940581542351453
39 975 813 28 189 0.23247232472324722 5.940959409594096
40 1000 833 29 193 0.23169267707082833 5.951980792316927
41 1025 858 30 198 0.23076923076923078 5.952214452214452
42 1050 879 31 204 0.23208191126279865 5.952218430034129
43 1075 908 31 212 0.23348017621145375 5.952643171806168
44 1100 929 32 216 0.232508073196986 5.966630785791173
45 1125 954 33 223 0.23375262054507337 5.968553459119497
